best_epoch,best_val_acc,final_val_acc,macro_precision,macro_recall,macro_f1,per_class_recall,best_train_acc,param_count,seed,best_confusion_matrix,run_name,model_name
93,0.898989898989899,0.8686868686868687,0.8528911136645583,0.8872053872053871,0.8673048424265025,"[1.0, 0.8484848484848485, 0.8232323232323232, 0.9242424242424242, 0.8333333333333334, 0.8939393939393939]",0.5764790764790765,13960838,42,"[[66, 0, 0, 0, 0, 0], [0, 113, 8, 3, 8, 0], [1, 4, 186, 5, 1, 1], [0, 1, 3, 58, 0, 4], [1, 4, 7, 0, 53, 1], [0, 1, 6, 1, 0, 58]]",stageB_plain_trial0_20260331-093628,plain
44,0.7794612794612794,0.6616161616161617,0.7378725009452386,0.6515151515151515,0.5796929106134002,"[0.9848484848484849, 0.2878787878787879, 0.8787878787878788, 0.06060606060606061, 0.7727272727272727, 0.9242424242424242]",0.6688311688311688,835206,43,"[[66, 0, 0, 0, 0, 0], [2, 109, 10, 0, 10, 1], [8, 23, 159, 0, 2, 6], [3, 8, 10, 39, 0, 6], [3, 19, 5, 0, 38, 1], [4, 5, 5, 0, 0, 52]]",stageB_plain_trial1_20260331-172633,plain
60,0.8501683501683501,0.7760942760942761,0.7751703923745502,0.8282828282828283,0.7883927033132007,"[0.9848484848484849, 0.803030303030303, 0.6060606060606061, 0.8787878787878788, 0.7727272727272727, 0.9242424242424242]",0.5202020202020202,871238,44,"[[64, 1, 1, 0, 0, 0], [0, 106, 10, 3, 11, 2], [1, 14, 172, 7, 3, 1], [0, 1, 6, 54, 1, 4], [0, 7, 8, 1, 50, 0], [0, 3, 3, 0, 1, 59]]",stageB_plain_trial2_20260331-174500,plain
42,0.9208754208754208,0.9141414141414141,0.9083978608208513,0.9166666666666666,0.911180936609825,"[1.0, 0.9090909090909091, 0.9090909090909091, 0.9393939393939394, 0.8636363636363636, 0.8787878787878788]",0.6493506493506493,25152870,42,"[[63, 1, 1, 0, 0, 1], [0, 118, 3, 1, 10, 0], [0, 8, 185, 1, 2, 2], [0, 1, 6, 57, 0, 2], [0, 1, 0, 0, 65, 0], [0, 1, 5, 0, 1, 59]]",stageB_resnet_trial0_20260331-180852,resnet
69,0.9276094276094277,0.9141414141414141,0.9030580413256463,0.917087542087542,0.9092644902492167,"[0.9848484848484849, 0.8560606060606061, 0.9343434343434344, 0.9242424242424242, 0.8787878787878788, 0.9242424242424242]",0.6645021645021645,2724998,43,"[[66, 0, 0, 0, 0, 0], [1, 117, 2, 1, 11, 0], [1, 5, 186, 5, 1, 0], [1, 0, 1, 64, 0, 0], [0, 4, 4, 0, 58, 0], [0, 0, 5, 0, 1, 60]]",stageB_resnet_trial1_20260401-090505,resnet
54,0.9191919191919192,0.9191919191919192,0.9144028856850742,0.9335016835016834,0.9198874035006704,"[1.0, 0.8636363636363636, 0.9040404040404041, 0.9393939393939394, 0.9696969696969697, 0.9242424242424242]",0.663059163059163,2788934,44,"[[66, 0, 0, 0, 0, 0], [0, 105, 4, 3, 20, 0], [3, 3, 188, 2, 2, 0], [2, 1, 0, 63, 0, 0], [0, 1, 2, 0, 63, 0], [1, 1, 2, 0, 1, 61]]",stageB_resnet_trial2_20260401-102240,resnet
29,0.9023569023569024,0.898989898989899,0.9015046045338346,0.906986531986532,0.901411546504213,"[0.9848484848484849, 0.8712121212121212, 0.8888888888888888, 0.8333333333333334, 0.9545454545454546, 0.9090909090909091]",0.6363636363636364,32990790,42,"[[63, 0, 3, 0, 0, 0], [0, 124, 2, 1, 5, 0], [0, 9, 184, 2, 3, 0], [0, 2, 8, 52, 3, 1], [0, 9, 3, 0, 54, 0], [0, 1, 6, 0, 0, 59]]",stageB_multiscale_trial0_20260401-112741,multiscale
99,0.9343434343434344,0.9292929292929293,0.9193401323180078,0.9360269360269361,0.9268285495715539,"[1.0, 0.9090909090909091, 0.9191919191919192, 0.9242424242424242, 0.9545454545454546, 0.9090909090909091]",0.7806637806637806,3532550,43,"[[66, 0, 0, 0, 0, 0], [1, 120, 2, 1, 8, 0], [0, 5, 187, 4, 0, 2], [1, 0, 2, 60, 0, 3], [1, 0, 3, 0, 62, 0], [0, 0, 5, 1, 0, 60]]",stageB_multiscale_trial1_20260401-202959,multiscale
71,0.8434343434343434,0.8282828282828283,0.8291888302782446,0.8762626262626262,0.8441670796999018,"[1.0, 0.7424242424242424, 0.7272727272727273, 0.9545454545454546, 0.9393939393939394, 0.8939393939393939]",0.5021645021645021,3652998,44,"[[66, 0, 0, 0, 0, 0], [2, 102, 12, 1, 15, 0], [5, 17, 151, 19, 5, 1], [1, 0, 1, 63, 0, 1], [0, 3, 1, 0, 62, 0], [4, 3, 0, 2, 0, 57]]",stageB_multiscale_trial2_20260401-225922,multiscale
