best_epoch,best_val_acc,final_val_acc,macro_precision,macro_recall,macro_f1,per_class_recall,best_train_acc,param_count,seed,best_confusion_matrix,run_name,model_name
58,0.8451178451178452,0.8316498316498316,0.8175716064757159,0.845959595959596,0.829065869227095,"[0.9242424242424242, 0.803030303030303, 0.803030303030303, 0.8484848484848485, 0.8181818181818182, 0.8787878787878788]",1.0,871238,42,"[[61, 1, 4, 0, 0, 0], [1, 106, 12, 0, 9, 4], [4, 4, 177, 7, 2, 4], [0, 1, 6, 54, 1, 4], [1, 6, 8, 1, 47, 3], [0, 1, 7, 0, 1, 57]]",stageA_plain_w64_b4_20260330-183655,plain
45,0.8552188552188552,0.8333333333333334,0.8243491655864456,0.8581649831649831,0.8356230909151856,"[0.9848484848484849, 0.7348484848484849, 0.8080808080808081, 0.9242424242424242, 0.8181818181818182, 0.8787878787878788]",1.0,1951974,42,"[[63, 1, 2, 0, 0, 0], [0, 110, 10, 2, 8, 2], [0, 9, 171, 9, 4, 5], [0, 0, 6, 58, 0, 2], [1, 5, 6, 3, 51, 0], [0, 3, 8, 0, 0, 55]]",stageA_plain_w96_b4_20260330-201703,plain
